Nr wpisu,Data dokonania wpisu,Nazwa przedsiębiorcy zagranicznego,Siedziba przedsiębiorcy zagranicznego,Kraj przedsiębiorcy zagranicznego,Forma prawna przedsiębiorcy zagranicznego,Przedmiot głównej działalności gospodarczej przedsiębiorcy zagranicznego,Imię i nazwisko osoby upoważnionej w przedstawicielstwie do reprezentowania przedsiębiorcy zagranicznego,Adres siedziby przedstawicielstwa na terytorium RP,Kod pocztowy,Miasto,Województwo,Data wykreślenia przedstawicielstwa z rejestru,Ostatni dzień obowiązywania wpisu
167/R,2007-08-10,LUIGI LAVAZZA S.P.A.,Via Bologne 32 10152 Turyn ,Włochy,spółka akcyjna,"Produkcja, przetwarzanie i sprzedaż hurtowa oraz detaliczna produktów spożywczych i napojów oraz artykułów kolonialnych i innych, a także produkcja i/ lub sprzedaż sprzętu i urządzeń z tym związanych. Spółka może dokonywać wszelkich działań, które są funkcjonalnie powiązane z realizacją powyższego przedmiotu działalności.",Mauro Mantovani,ul. Kochanowskiego 18,40-035,Katowice,śląskie,Aktywne,30.04.2026
176/R,2007-11-19,ITC-GmbH Vertriebsgesellschaft fur Informationstelekommunikative Computer,31061 Alfeld (Leine),Niemcy,spółka z o.o.,"Produkcja oraz sprzedaż urządzeń z zakresu optyki, elektroniki i telekomunikacji, jak również handel każdym towarem, który nie wymaga szczególnego pozwolenia.",Piotr Andrzej Papke,ul. Inowrocławska 44,87-100,Toruń,kujawsko-pomorskie,Wykreślone 11-07-2020,
178/R,2007-12-13,Cupori Oy,Kuparitie 28100 Pori,Finlandia,spółka akcyjna,"Prowadzenie w kraju i za granicą produkcji i handlu miedzią, stopami miedzi oraz innymi metalami, a także działalności przemysłowej i handlowej, która jest oparta lub związana z powyższymi dziedzinami działalności lub wiedzą zdobytą w powyższych dziedzinach. W ramach swojej działalności Spółka może również zakładać w kraju i za granicą spółki i konsorcja, nabywać ich akcje lub udziały, zaciągać kredyty, udzielać gwarancji oraz zastawiać majątek własny.",Wojciech Sawicki,ul. Bonifraterska 10 lok. 42,00-213,Warszawa,mazowieckie,Wykreślone 01-05-2022,
179/R,2007-12-13,"Gallo Vineyards, Inc.",Kalifornia CA 95353 P.O. Box 1130 Modesto,Stany Zjednoczone Ameryki,spółka z o.o.,"Dystrybucja wina i produktów winiarskich, uprawa i sprzedaż winogron.",Anne Claire Sbile ,ul. Bobrowiecka 3 lok. 47,00-728,Warszawa,mazowieckie,Wykreślone 01-05-2022,
184/R,2008-01-24,Blücher Metal A/S,Pugdalvej 1 7480 Vildbjerg ,Dania,spółka akcyjna,Prowadzenie produkcji i handlu oraz innej działalności.,Henrik Skov Ladefoged,ul. Puławska 40 A,05-500,Piaseczno,mazowieckie,Aktywne,30.04.2026
191/R,2008-04-29,PANINI S.P.A.,"Via Emilio Po, 380 41100 Modena (MO)",Włochy,spółka akcyjna,"Produkcja papieru, wydawnictwo, drukowanie, dystrybucja i sprzedaż przy zastosowaniu wszelkich kanałów dystrybucyjnych produktów wydawniczych (z wykluczeniem drukowania dzienników), produkcja, handel hurtowy i detaliczny w zakresie obrazków naklejek dla dzieci, kopert i albumów do kolekcjonowania dla młodzieży, czasopism i ich dodatków, książek i podręczników, wszelkie inne przedsięwzięcia wydawnicze lub graficzne, włącznie z nośnikami audiowizualnymi, dyskami, produkcja, handel hurtowy i detaliczny w zakresie kart kredytowych, kluczy elektronicznych, gier komputerowych i akcesoriów oraz software informatycznych powyższego rodzaju, w najróżniejszych postaciach i formach.",Monika Pąśko-Melon,ul. Warszawska 58c lok. 45,02-496,Warszawa,mazowieckie,Wykreślone 01-05-2022,
214/R,2008-04-12,Winnicom Technologies Corporation,"30700 Carter Street, Suite A OH 44139 Solon",Stany Zjednoczone Ameryki,spółka prawa amerykańskiego,Dystrybucja profesjonalnego sprzętu telekomunikacyjnego.,Aleksander Keylikhes,"ul. Wierzbowa 9/11, lok. 332",00-094,Warszawa,mazowieckie,Wykreślone 11-07-2020,
217/R,2008-12-18,SE Tylose GmbH & Co. KG,Kasteler Strasse 45 65203 Wiesbaden  ,Niemcy,spółka komandytowa,"Opracowywanie, produkcja, przetwarzanie oraz marketing i dystrybucja specjalnych chemikaliów, w szczególności eterów, celulozy, metylocelulozy i hydroksyetylocelulozy.",Fumio Arai,Al. Jerozolimskie 96,00-807,Warszawa,mazowieckie,Aktywne,30.04.2026
218/R,2009-01-21,HUMMEL AG,Lise-Meitner-Strasse 2 D-79211 Denzlingen,Niemcy,spółka akcyjna,"Projektowanie, produkcja i dystrybucja wszelkiego rodzaju artykułów elektrotechnicznych i elektronicznych, w szczególności wszelkich artykułów elektrotechnicznych dla technologii maszyn, urządzeń i budynków, budowy aparatów i sprzętu oraz usługi serwisowe w tych dziedzinach jak również wszelkie sprawy z tym związane. Projektowanie, produkcja i dystrybucja wszelkiego rodzaju wyrobów grzewczych i sanitarnych, technologii budynków oraz związanych z tym artykułów peryferyjnych i usług serwisowych w tych dziedzinach, jak również wszelkie sprawy z tym związane. Projektowanie, produkcja i dystrybucja wszelkiego rodzaju wyrobów z metalu i tworzyw sztucznych jak również świadczenie usług serwisowych w tych dziedzinach oraz wszelkie transakcje z tym związane.",Grzegorz Piotrowski,Al. 23 stycznia 26,86-300,Grudziądz,kujawsko-pomorskie,Aktywne,30.04.2026
223/R,2009-02-23,Liaoning Asia & Pacific International Cooperation and Exchange Center, Lingyuan 7-1 Huanggu Shenyang,Chiny,spółka prawa chińskiego,"Wymiana i współpraca w dziedzinach: gospodarki, techniki, kultury i edukacji, konsultacje, usługi pośrednictwa, usługi w dziedzinie oprogramowania komputerowego i części, usługi doradcze, wymiana handlowa, usługi domowe, handel ogólny, igły, materiały, towary turystyczne, twarde dyski i materiały elektryczne, materiały budowlane, sprzedaż.",Guo Hua,ul. Pileckiego 106 lok. 75,02-781,Warszawa,mazowieckie,Wykreślone 11-07-2020,
231/R,2009-05-27,TGW Systems Integration GmbH,Bauernstraße 11 4600 Wels,Austria,spółka z o.o.,"Rozwój, handel, zbycie, realizacja oraz konserwacja systemów logistycznych i informatycznych i tym podobnych, - wynajem, dzierżawa i utrzymywanie systemów logicznych i informatycznych i tym podobnych, udział w przedsiębiorstwach i spółkach o takim samym lub podobnym profilu, zarządzanie nimi i reprezentacja, podejmowanie wszelkich działań, transakcji, słuzacych do osiągnięcia celów spółki.",Lech Sowiński,ul. Poznańska 62 lok. 20,60-850,Poznań,wielkopolskie,Wykreślone 11-07-2020,
232/R,2009-06-16,Cambridge Assessment Overseas Limited ,"Shaftesbury Road, TheTriangle Building CB2 8EA Cambridge",Wielka Brytania,spółka z o.o.,Ogólna działalność edukacyjna na poziomie szkoły średniej.,Adam Maciaszczyk,ul. Sienna 86/99,00-815,Warszawa,mazowieckie,Wykreślone 01-05-2024,
235/R,2009-07-24,MP Biomedicals,Parc d'Innovation - Rue Geiler de Kaysersberg 67 400 Illkirch Graffenstaden,Francja,spółka z ogr. odpowiedzialnością z jedynym wspólnikiem,"Działalność badawczo rozwojowa w zakresie biotechnologii, ustawiczne kształcenie zawodowe, sprzedaż, marketing i dystrybucja produktów przeznaczonych do badań w dziedzinie biomedycyny.",Danuta Sadowska-Ryffa,ul. Pawińskiego 5 A budynek D,02-106,Warszawa,mazowieckie,Wykreślone 11-07-2020,
237/R,2009-09-24,Somatheeram Research Institute & Ayurveda Hospital Private Limited,"Chowara P.O., Balaramapuram 695 501 Trivandrum  ",Indie,spółka z o.o.,"Zakładanie, utrzymywanie, prowadzenie oraz zarządzanie szpitalem ajurwedyjskim, ajurwedyjskim centrum badawczym, sklepami ajurwedyjskimi oraz podobnymi ośrodkami zapewniającymi zabiegi i leczenie ajurwedyjskie, we wszystkich oddziałach, wszelkimi możliwymi środkami na rzecz ogółu społeczności.",Danuta Trzaskowska Grimandi,ul. Grochowska 21/2,60-277,Poznań,wielkopolskie,Wykreślone 11-07-2020,
246/R,2009-12-16,"Guangdong Kin Long Hardware Products Limited Liability Company (Co., Ltd.)","Daping Village, No.3, Lu di Keng Rd Guangdong Province, Tangxia Town",Chiny,spółka z o.o.,"Produkcja i sprzedaż: wyrobów ze stali nierdzewnej, metalowych elementów budowlanych, okuć do drzwi oraz okien, barierek, akcesoriów metalowych do barier zabezpieczających, akcesoriów metalowych do bram, elementów metalowych do łazienek, lin z drutów stalowych, prętów stalowych, zamków do bram, materiałów do ścian osłonowych.",Xu Rongjia,ul. Elektoralna 21 lok. 28,00-137,Warszawa,mazowieckie,Wykreślone 11-07-2020,
252/R,2010-02-03,Big Kaiser Präzisionswerkzeuge AG,Glattalstrasse 516 8153 Rümlang  ,Szwajcaria,spółka akcyjna,"Produkcja i handel narzędziami precyzyjnymi oraz import i eksport oraz handel narzędziami i urządzeniami dla przemysłu obrabiarek. Spółka może posiadać udziały w innych przedsiębiorstwach, spółka może na własny i cudzy rachunek w kraju i za granicą nabywać, zarządzać, zabudowywać i odsprzedawać nieruchomości wszelkiego typu (z gospodarstwami rolnymi włącznie) oraz prowadzić działalność finansową, inwestycyjną i pożyczkową wszelkiego rodzaju oraz udzielać gwarancji (poręczeń i składać zabezpieczenia na rzecz osób trzecich).",Bogdan Mazur ,ul. Towarowa 28,00-839,Warszawa,mazowieckie,Wykreślone 11-07-2020,
253/R,2010-03-15,SR Suntour Europe GmbH,Am Marschallfeld 6 a 83626 Valley,Niemcy,spółka z o.o.,"Projektowanie, wprowadzanie na rynek, sprzedaż i serwis części rowerowych.",Yu-Chin Hsu,ul. Ostrowska 498,61-324,Poznań,wielkopolskie,Wykreślone 11-07-2020,
257/R,2010-05-14,DSG-Canusa GmbH,Boschstraße 17 53359 Rheinbach,Niemcy,spółka z o.o.,"Rozwój, produkcja i handel wyrobami przemysłu przetwórstwa tworzyw sztucznych, w szczególności wyrobami służącymi do izolacji mechanicznej i elektrycznej, ochrony przed korozją i uszczelniania połączeń wszelkiego rodzaju oraz ich identyfikacji. Produkty główne stanowią węże termokurczliwe oraz technologie pokrewne, a także tuleje, kleje i środki uszczelniające oraz akcesoria i urządzenia maszynowe, służące do dalszej obróbki wyżej wymienionych wyrobów. Innym celem spółki jest posiadanie i zarządzanie udziałami i akcjami wszelkiego rodzaju w charakterze wspólnika oraz podejmowanie wszelkich czynności handlowych służących pośrednio lub bezpośrednio celowi spółki. ",Tomasz Piotrowski,ul. Poplińskich 10/6,61-574,Poznań,wielkopolskie,Wykreślone 01-05-2024,
258/R,2010-01-06,DERMA COS ILAC MEDIKAL VE KOZMETIK SANAYII VE IC TICARET ANONIM SIRKETI,M. Akif Mh. Cumhuriyet CD. Yücedag sk.n.15 kat 3. Cekmeköy Istambuł,Turcja,spółka akcyjna,Produkcja dermokosmetyków.,Cansu Dilmen,ul. Drawska 10B/38,02-202,Warszawa,mazowieckie,Wykreślone 11-07-2020,
265/R,2010-07-29,Vitec Power GmbH,Hans-Kudlich-Gasse 12/3 A-2230 Gänserndorf,Austria,spółka z o.o.,Handel towarami wszelkiego rodzaju (przede wszystkim dystrybucja podzespołów elektronicznych). Wykonywanie funkcji członka zarządu w innych spółkach osobowych. Posiadanie udziałów w innych spółkach w kraju i za granicą.,Robert Serkuczewski,ul. Czerniakowska 71 lok. 109,00-715,Warszawa,mazowieckie,Wykreślone 11-07-2020,
272/R,2010-10-19,SABAF SpA,via dei Carpini 1 25035 Ospitaletto (BS),Włochy,spółka akcyjna,"Projektowanie, produkcja oraz sprzedaż komponentów dla sektora AGD.",Tomasz Dalaszyński,"ul. Sienkiewicza 85/87, Biurowiec ORION",90-057,Łódź,łódzkie,Aktywne,30.04.2026
279/R,2010-11-26,"Dokumeds, SIA",Alojas iela 6 LV-1013 Ryga,Łotwa,spółka z o.o.,Świadczenie usług w zakresie organizacji badań klinicznych.,Magdalena Kiełbas,"ul. Szamocka 8, piętro IV",01-748,Warszawa,mazowieckie,Wykreślone 18-08-2020,
283/R,2011-01-18,Construcciones y Auxiliar de Ferrocarriles S.A.,Jose Miguel Iturrioz nr 26 Guipúzcoa Beasain  ,Hiszpania,spółka akcyjna,"Produkcja, naprawa, kupno, sprzedaż, wynajem, eksploatacja w dowolnej formie, import i eksport: wszelkiego rodzaju elementów, urządzeń, sprzętu, stałych lub ruchomych oraz dóbr przeznaczonych do realizacji działalności z zakresu transportu wszelkiego rodzaju, wszelkiego rodzaju produktów, dóbr i samych elementów z zakresu przemysłu metalurgicznego, hutniczego, tworzyw sztucznych, kolarstwa i stolarki, wszelkiego rodzaju maszyn przemysłowych, obrabiarek, maszyn przeznaczonych do realizacji robót budowlanych realizowanych w ramach zamówień publicznych oraz maszyn rolniczych, wszelkiego rodzaju produktów, dóbr i elementów związanych z działalnością oraz branżą elektrotechniczną, elektroniczno-informatyczną oraz obronną, wszelkiego rodzaju elementów, dóbr i sprzętu posiadających charakter pomocniczy, uzupełniający lub wynikający z działalności wymienionych w poprzedzających akapitach. Prowadzenie wszelkiego rodzaju działalności na rynku nieruchomości. Kupno i sprzedaż nieruchomości jak i również ich wynajem lub cesja w dowolnej formie. Realizacja wszelkiego rodzaju robót i prac budowlanych, zarówno na zlecenie instytucji publicznych jak i prywatnych, na rachunek własny lub osób trzecich. Działalność deweloperska oraz sprzedaż budynków oraz obiektów wszelkiego rodzaju, również na rachunek własny lub osób trzecich. Świadczenie usług wszelkiego rodzaju a zwłaszcza usług z zakresu analizy, doradztwa, inżynierii i wsparcia technicznego, związanych z działalnością wymienioną powyżej. Uczestniczenie w zakresie określonym przez Zarząd w kapitale innych spółek, których przedmiot działania jest analogiczny do opisanego powyżej. Prowadzenie wszelkiego rodzaju działalności przemysłowej, handlowej, finansowej, usługowej, związanej z dobrami ruchomymi oraz nieruchomościami, działalności rolniczej, hodowlanej i leśnej, posiadającej bezpośredni lub pośredni związek z działalnością wymienioną powyżej. ",Jesús Esnaola Altuna ,ul. Emilii Plater 53,00-113,Warszawa,mazowieckie,Wykreślone 11-07-2020,
285/R,2011-01-02,Active Communications Europe Ltd. ,"109 Baker Street, W1U 6RP Londyn",Wielka Brytania,spółka z o.o.,"Działalność w zakresie produkcji, organizacji konferencji, szczytów i spotkań biznesowych na całym świecie, sprzedaży miejsc oraz pakietów sponsorskich na organizaowanych przez siebie eventach.",Hubert Sosnowski ,Pl. Wiosny Ludów 2,61-831,Poznań,wielkopolskie,Aktywne,30.04.2026
286/R,2011-02-03,SPECIFAR AVEE VIOMICHANIA CHIMIKON KAI FARMAKEFTIKON PROIONTON A.E.,"28 Octovriou 1 12351 Ateny, Agia Varvara  ",Grecja,spółka akcyjna,Wyrób i handel lekami i produktami chemicznymi.,Periklis Vasilopoulos,ul. Wyrzyska 9 A,02-455,Warszawa,mazowieckie,Wykreślone 11-07-2020,
287/R,2011-03-28,FIL INVESTMENTS INTERNATIONAL,"Oakhill House, 130 Tonbridge Road Kent TN11 9DZ Hildenborough, Tonbridge",Wielka Brytania,spółka jawna,Sprzedaż papierów wartościowych i zarządzanie funduszami.,Dominik Bekkewold,Pl. Piłsudskiego 3,00-078,Warszawa,mazowieckie,Wykreślone 11-07-2020,
294/R,2011-06-29,TOMKSOFT SOCIEDAD ANONIMA,75 metrów na zachód od południowej przecznicy parku San Pablo de Heredia,Kostaryka,spółka akcyjna,"Handel, eksport, import, przemysł rolniczy, reprezentowanie firm zagranicznych.","Andrzej Klekot, Tomasz Klekot",ul. Konstantego Damrota 23 m. 1,41-800,Zabrze,śląskie,Wykreślone 11-07-2020,
297/R,2011-08-18,Hanwha Europe GmbH,Kölner Straße 10 65760 Eschborn  ,Niemcy,spółka z o.o.,"Handel oraz import i eksport dóbr i towarów wszelkiego rodzaju łącznie z chemikaliami, maszynami, sprzętem elektronicznym, innego rodzaju towarem handlowym, najem lub wynajem tych towarów, udzielanie licencji, patentów lub innych praw ochrony własności przemysłowej, zakup, sprzedaż lub rozporządzanie nimi w inny sposób, jednak pod warunkiem uzyskania koniecznych zezwoleń od właściwych urzędów.",Chang Ho Park,ul. Branickiego 15,02-972,Warszawa,mazowieckie,Wykreślone 01-05-2022,
298/R,2011-08-26,"HAENGSUNG CO., LTD",Geumgangdongwon-ro 16 (Oncheon-dong) Dongnae-gu Busan,Republika Korei,spółka akcyjna,Produkcja i sprzedaż części elektrycznych i elektronicznych oraz urządzeń do formowania tworzyw sztucznych ,Kwan Hee Nam,ul. Wrocławska14 lok. A5,55-040,Bielany Wrocławskie,dolnośląskie,Wykreślone 01-05-2024,
299/R,2011-09-15,KLEMAN ELLAS - KLEEMANN HELLAS- ANONYMOS VIOMICHANIKI EMPORIKI ETAIRIA GIA MICHANOLOGIKES KATASKEVES A.E. (nazwa skrócona: KLEEMANN HELLAS ABEE),Strefa Przemysłowa 61100 Stavrochori Kilkis,Grecja,spółka akcyjna,"Produkcja przemysłowa, instalacja i handel windami hydraulicznymi i elektrycznymi w zaawansowanej technologii oraz oprzyrządowaniem i częściami do nich, jak również wszelkimi innymi produktami sprzętu mechanicznego, świadczenie usług (nakładcze-remonty-utrzymania) w zakresie wyżej wymienionych produktów, reprezentowanie zagranicznych jednostek przemysłowych i handlowych z podobnymi artykułami w Grecji oraz uczestnictwo spółki w innych spółkach - podobnych lub nie, lub w spółkach wszelkiego typu prawnego lub nabycie takich spółek, które już działają lub będą ustanowione w przyszłości, jak również nabycie akcji lub innych praw w jakiejkolwiek greckiej lub zagranicznej spółce, notowanej na Giełdzie Papierów Wartościowych w Atenach lub nie, oraz uczestnictwo w inwestycyjnych funduszach wzajemnych.",Iwona Zbiciak,ul. Marynarska 2 lok. 18,91-803,Łódź,łódzkie,Wykreślone 26-09-2023,
301/R,2011-03-11,FIL (LUXEMBOURG) S.A.,Albert Borschette 2a 1021 Luksemburg,Luksemburg,spółka akcyjna,"Usługi komisanta, doradcy inwestycyjnego, maklera instrumentów finansowych, dystrybutora akcji/jednostek uczestnictwa instytucji zbiorowego inwestowania bez dokonywania lub przyjmowania płatności, agenta rejestrowego, agenta ds. komunikacji z klientem, agenta administracyjnego sektora finansowego, agenta ds. zapewnienia domicylu spółkom oraz zawodowego dostawcy usług w zakresie tworzenia spółek i zarządzania.",Nishith Suresh Gandhi ,ul. Marszałkowska 126/134,00-008,Warszawa,mazowieckie,Wykreślone 01-05-2024,
303/R,2012-10-02,IMD Media Limited,Allan House 10 John Princes Street W1G 0JW Londyn,Wielka Brytania,spółka z o.o.,"Działalność radiowo-telewizyjna. Działalność z zakresu cyfrowego przeniesienia filmu z taśmy filmowej, wykonywanie materiałów wyjściowych obrazu oraz dzwięku do kopii elektronicznych.",Kim Laura Clarke,ul. Skaryszewska 7,03-802,Warszawa,mazowieckie,Wykreślone 01-05-2022,
307/R,2012-04-16,AMERICA II EUROPE LIMITED,"C/O TMF Group 8th Floor, 20 Farringdon Street EC4A 4AB Londyn",Wielka Brytania,spółka z o.o.,"Prowadzenie działalności w zakresie usług inżynieryjnych, konsultingowych, ogólnych, mikrochipów elektronicznych i energetyki.",Frank Anthony Cavallaro ,ul. Chłodna 52,00-872,Warszawa,mazowieckie,Wykreślone 01-05-2024,
312/R,2012-09-07,HETERO DRUGS LIMITED,"Industrial Estate, 7-2-A2, Hetero Corporate 500 018 Hyderabad, Sanath Nagar",Indie,spółka z o.o.,"Prowadzenie działalności dotyczącej produkcji, sprzedaży, handlu, eksportu i importu wszystkich rodzajów substancji chemicznych, leków, farmaceutyków, pestycydów i barwników oraz innych produktów pośrednich, prowadzenie działań badawczo-rozwojowych w celu wykreowania nowych produktów oraz substytutów produktów importowanych, a także stworzenia i utrzymania centrum testowego i laboratorium na użytek własny i podmiotów zewnętrznych, prowadzenie działalności doradztwa technicznego w dziedzinie substancji chemicznych, farmaceutyków i barwników.",Ziemowit Adamiec,ul. Małachowskiego 12/2,90-158,Łódź,łódzkie,Aktywne,30.04.2026
313/R,2012-12-07,U.S. QUALITY DRUG CO. INC.,30 New York Ave. NY 11590 Westbury  ,Stany Zjednoczone Ameryki,spółka,"Produkcja, nabywanie, sprzedawanie, łączenie, przygotowywanie, wprowadzanie na rynek, importowanie i eksportowanie do wszystkich krajów świata, dystrybucja oraz ogólnie obracanie w handlu detalicznym i hurtowym, jako przedstawiciel, makler, pośrednik, zleceniodawca, komisant, licencjodawca, licencjobiorca, itd., wszelkiego rodzaju leków domowych, dostaw medycznych, chemikaliów, leków. Ogólnie obracanie wszelkiego rodzaju towarami.",Mariusz Sikorski,ul. Czarnieckiego 12/4,05-802,Pruszków,mazowieckie,Wykreślone 11-07-2020,
320/R,2012-02-10,Bayer + Riedl Personalservice GmbH,Rennstraße 2 84 130 Dingolfing,Niemcy,spółka z o.o.,Pośrednictwo pracy.,Andrzej Teichert,ul. Ozimska 17 lok. 4/2,45-057,Opole,opolskie,Aktywne,30.04.2026
321/R,2012-05-10,Kinley Tshering prowadzący działalność gospodarczą pod nazwą Dharma Adventures Bhutan,"Wangdue Wachey, Bjena",Bhutan,osoba fizyczna prowadząca działalność gospodarczą,Wycieczki i wyprawy górskie (turystyka).,Aleksandra Trzaskowska,ul. Na Przełaj 12 B,03-092,Warszawa,mazowieckie,Wykreślone 11-07-2020,
330/R,2013-09-04,"BELUPO lijekovi i kozmetika, d.d.",Danica 5 Koprivnica,Chorwacja,spółka akcyjna,"Produkcja homogenizowanych artykułów żywnościowych i żywności dietetycznej. Produkcja chemikaliów i wyrobów chemicznych. Handel hurtowy i pośrednictwo w handlu za wyjątkiem handlu pojazdami mechanicznymi i motocyklami. Sprzedaż detaliczna w niewyspecjalizowanych sklepach. Sprzedaż detaliczna  artykułów żywnościowych w wyspecjalizowanych sklepach. Sprzedaż detaliczna wyrobów farmaceutycznych, artykułów toaletowych i podobnych. Handel detaliczny prowadzony poza siecią sklepową. Prowadzenie prac badawczo-rozwojowych. Badanie rynku i opinii publicznej. Promocja i reklama.
Organizacja targów międzynarodowych. Kontraktowa kontrola jakości i ilości towarów w obrocie międzynarodowym. Prowadzenie prac badawczych oraz dostarczanie i wykorzystanie informacji i wiedzy w gospodarce i nauce za granicą. Reprezentowanie firm zagranicznych. Pośrednictwo reprezentowanie międzynarodowym obrocie towarów i usług oraz usługi pozostałe.
",Hrvoje Perković,"ul. Śniadeckich 10, lok. 20",00-656,Warszawa,mazowieckie,Wykreślone 30-09-2020,
331/R,2013-11-04,DKSH GMBH,Baumwall 3 20459 Hamburg,Niemcy,spółka z o.o.,"Handel, eksport i import wszelkiego rodzaju bez handlu detalicznego oraz pośrednictwo tego rodzaju transakcji, a także posiadanie i zarządzanie udziałami w innych przedsiębiorstwach.",Violetta Ewa Komorska,ul. Rejtana 17 lok. 37,02-517,Warszawa,mazowieckie,Wykreślone 11-07-2020,
333/R,2013-05-17,TELE TRADE - DJ INTERNATIONAL CONSULTING LTD,"Esperidon 5, 4th floor 2001 Strovolos Nikozja  ",Cypr,spółka z o.o.,"Przyjmowanie i przekazywanie zleceń w imieniu klientów, realizacja zleceń w imieniu klientów, zarządzanie portfelem, doradztwo inwestycyjne.",Yuriy Yarovyy,ul. Chłodna 51,00-867,Warszawa,mazowieckie,Wykreślone 01-05-2022,
334/R,2013-11-06,"HK IDEA TEXTILE CO., LIMITED","Unit 2, LG 1, Mirror Tower, 61 Mody Road, Tsim Sha Tsui, KL",Chiny/Hongkong,spółka z o.o.,Handel.,Marcin Piekut,ul. Wspólna 17 A Janki ,05-090,Raszyn,mazowieckie,Aktywne,30.04.2026
336/R,2013-02-07,ZEMLYAKOFF EUROPE LIMITED,"Kennedy, 12 Kennedy Business Centre, 2nd floor 1087 Nikozja  ",Cypr,spółka z o.o.,"Opracowywanie, rejestracja, produkcja, marketing, handel i dystrybucja środków ochrony roślin, substancji aktywnych wykorzystywanych do produkcji środków ochrony roślin, nasion roślin uprawnych oraz nawozów.",Justyna Anna Kasińska,Al. Wilanowska 83/52,02-765,Warszawa,mazowieckie,Wykreślone 11-07-2020,
337/R,2013-04-07,ENERGIE ET TRANSFERT THERMIQUE ,route de Brest 29830 Ploudalmézeau,Francja,spółka akcyjna uproszczona (jednoosobowa),"Działalność w zakresie: ogrzewania, wentylacji, chłodnictwa, odzyskiwania energii elektrycznej, regulacji.",Charles Bommarito,Pl. Czerwca 1976 r. 2,02-495,Warszawa,mazowieckie,Wykreślone 11-07-2020,
339/R,2013-07-25,Qualys GmbH,Terminalstr. Mitte18 85356 Monachium ,Niemcy,spółka z o.o.,"Udostępnianie bezpiecznej internetowo usługi kontroli bezpieczeństwa, której celem jest identyfikacja jakości zabezpieczeń połączeń internetowych i sieci komputerowych dla przedsiębiorstw oraz dla celów analitycznych.",Isidro Peralta Pena,Pl. Piłsudskiego 1,00-078,Warszawa,mazowieckie,Wykreślone 11-07-2020,
340/R,2013-02-08,SITA Bauelemente GmbH,Ferdinand-Braun-Straße 1 33378 Rheda-Wiedenbrück ,Niemcy,spółka z ograniczoną odpowiedzialnością,Wyrób oraz sprzedaż materiałów budowlanych wszelkiego rodzaju.,Piotr Stryjak,ul. Rydlówka 20,30-363,Kraków,małopolskie,Wykreślone 01-05-2022,
341/R,2013-08-20,WOOJIN PLAIMM CO. LTD. ,"100, Ujinpeullaim-ro Jangan-myon, Bo-eun-gun Chungcheongbuk-do",Republika Korei,spółka z o.o.,"Produkcja i handel wtryskarkami, urządzeniami automatyki przemysłowej oraz urządzeniami pomocniczymi, produkcja i handel częściami maszyn i podzespołami elektronicznymi, opracowywanie i sprzedaż oprogramowania komputerowego, szkolenia biznesowe, działalność wydawnicza, pośrednictwo w obrocie nieruchomościami, wszelka działalność związana z powyższym.",Jung Young Kun,ul. Hutnicza 6,40-241,Katowice,śląskie,Aktywne,30.04.2026
346/R,2013-01-10,Trakya Cam Sanayii Anonim Sirketi,"Is Kuleleri, Kule 3 Kat 13 34330 4. Levent - Stambuł",Turcja,spółka z o.o.,"Zakładanie, rozwijanie oraz współpraca z działalnościami pomocniczymi i zastępczymi mającymi pośredni albo bezpośredni związek z przemysłem szklarskim, a także z takimi które mają z tym przemysłem powiązania budżetowe.",Łukasz Bresler,ul. Barlickiego 21/16,40-820,Katowice,śląskie,Wykreślone 11-07-2020,
349/R,2013-10-10,"Rosen, Sokol & Clements Immigration Law Group, P.C.","1875 Old Alabama Road, Suite 720 30076 Georgia, Roswell",Stany Zjednoczone Ameryki,amerykańska kapitałowa spółka partnerska,Praktyka prawna w zakresie prawa imigracyjnego USA.,Alina Sokół,Al. Kościuszki 46 lok. 13,90-427,Łódź,łódzkie,Wykreślone 11-07-2020,
350/R,2013-10-17,Pemamek Oy,Lamminkatu 47 32200 Loimaa,Finlandia,spółka z o.o.,Projektowanie i produkcja automatycznych urządzeń do spawania dla różnych branż przemysłu.,Pekka Sakari Heikonen,ul. Annopol 3 - NEFRYT,03-236,Warszawa,mazowieckie,Wykreślone 11-07-2020,
351/R,2013-10-23,L'Office National Marocain du Tourisme,"Angle Rue Oued Al Makhazine et Rue Zalaga B.P.19, Agdal-Rabat Rabat  ",Maroko,podmiot publiczny,Promocja i reklama turystyki Maroka.,Rachid EN NACIRI ,ul. Złota 59/1415 Skylight Building Złote Tarasy,00-120,Warszawa,mazowieckie,Wykreślone 01-05-2024,
352/R,2013-10-29,IPP TECHNOLOGY LP,4-5 Mitchell Street EH6 7BD Edynburg ,Wielka Brytania,spółka komandytowa,"Prowadzenie badań, poszukiwanie nowych rozwiązań w dziedzinie termodynamiki, dynamiki gazów, elektroniki kwantowej, elektrofizyki, elektrochemii, poszukiwanie rozwój i tworzenie alternatywnych źródeł energii, badania naukowe i prace rozwojowe w dziedzinie nauk przyrodniczych i technicznych, działalność w zakresie architektury i inżynierii oraz związane z nią doradztwo techniczne.",Leszek Zielonka,ul. Księcia Witolda 49/4,50-202,Wrocław,dolnośląskie,Wykreślone 11-07-2020,
